iso,label,binding_intervals,branch_id,source_id,kv,inferred_circuits,dc_loading_pct
miso,CEDAR MTN-LYON COUNTY 345 1 (0956),706,44778,159140,345.0,1,31
miso,UNIVERSITY - MUKWONAGO 138 (UNIG52,351,9803,112012,138.0,1,59
miso,WILTON CENTER-DUMONT 765 (11215),288,4168,105137,765.0,1,37
miso,BUTLER-GRANVILLE 138 (3453),268,20000,124528,138.0,1,79
miso,BLACKBERRY - IRON RANGE 230 (106L),175,T9020,,230.0/115.0,1,35
miso,MONROE-BROWNSTOWN 345 #2,150,14671,117986,345.0,1,121
miso,MONROE - LALLENDORF 345,140,60106,180667,345.0,1,70
miso,FOX RIVER-N APPLETON 345 (NAPL121),109,2668,103291,345.0,1,116
miso,MORGAN VALLEY - TIFFIN 345,105,59095,179161,345.0,1,73
miso,NEW CARLISLE-BOSSERMAN 138 1,93,831,101004,138.0,1,46
miso,ROCK CREEK - SALEM 345,76,28736,135181,345.0,1,54
miso,MONROE-COVENTRY 345,67,17419,121365,345.0,1,55
miso,ARPIN-ROCKY RUN 345 (W-8) *,53,17823,121838,345.0,1,33
miso,SHERIDAN - MAGNET COVE 500,45,10467,112837,500.0,2,53
miso,SANSSU - DRIVER 500,44,5393,106607,500.0,1,58
miso,MAYWOOD-HERLEMAN  345,44,47977,162598,345.0,1,1
miso,SPLIT ROCK - SIOUX CITY 345,36,15282,118737,345.0,1,44
miso,CHARLIE CREEK - PATENT GATE 345,30,24770,130244,345.0,1,3
miso,BLUEMOUND-BUTLER 138 (5051),26,20000,124528,138.0,1,79
miso,FREEPORT - CORDOVA 500,19,2894,103584,500.0,1,140
miso,BRIGGS ROAD - NORTH ROCHESTER 345,18,52406,167550,345.0,1,44
miso,SPENCER CREEK-MAYWOOD 345(4590),15,36830,145074,345.0,1,101
miso,GERALD ANDRUS-INDIANOLA 230,14,7242,108876,230.0,2,40
miso,QUAD CITIES-ROCK CREEK 345 (0405),13,5225,106398,345.0,1,89
miso,FORBES-CHISAGO CO 500,12,30207,137023,500.0,1,10
miso,FORT CALHOUN-RAUN 345,11,22515,127530,345.0,1,27
miso,STUTTGART-WOODWARD 230,9,31224,138251,230.0,1,44
miso,LEWIS CREEK-PEACH CREEK 230,7,74684,302619,230.0,1,336
miso,ARCADIAN-GRANVILLE 345 (9911),4,36880,145136,345.0,1,16
miso,MOROCCO-MONROE-MILAN 345,4,33001,140422,345.0,1,47
miso,TITTABAWA-GALLAGHER-LIVINGSTON 345,2,41066,150276,345.0,1,27
miso,BONDURANT - MONTEZUMA 345,2,32474,139793,345.0,1,21
miso,ELKHORN-NORTH LAKE GENEVA 138 X-55,1,32227,139470,138.0,1,2
miso,XF GAINES TB2 TB2 (XF/CONS/*),60,45576,159997,138.0,1,127
miso,XF PLMY XFM1 XFMR_1 (XF/AMMO/*),44,18462,122615,138.0,1,54
miso,XF GOODLAND B NO_1_XFMR (XF/NIPS/*),31,T8523,,161.0/130.5,1,18
miso,LN LNG LNG____LACON_4 A (LN/EES/EES),20,75698,303678,138.0,1,77
miso,XF COLY_E AT5 AT5 (XF/EES/*),19,73023,300843,138.0,1,103
miso,XF LCR230 AT1 AT1 (XF/EES/*),2,75698,303678,138.0,1,77
miso,XF OVER X345 XFMR_1_345 (XF/AMMO/*),2,27148,133241,345.0,1,64
ercot,FRONTERA-S_MISSIN 138kV,480,76350,304358,138.0,1,172
ercot,BRUNI-BRUNI 138kV,410,81791,310041,138.0,1,31
ercot,SAMSW-VENSW 345kV,225,77521,305588,345.0,1,35
ercot,ORNGROV-SNDIEGS 69kV,178,81674,309919,69.0,1,43
ercot,PAWNEE-CALAVERS 345kV,177,75353,303314,345.0,1,33
ercot,ZEN-THW 345kV,154,83731,312058,345.0,1,74
ercot,NUECES_B-WHITE_PT 138kV,150,79003,307139,138.0,1,65
ercot,VERS-SANDROAD 69kV,138,74254,302162,69.0,1,23
ercot,POTEETS-OAKS9 69kV,121,75734,303715,69.0,1,14
ercot,LA_PALMA-HAINE_DR 138kV,116,84072,312413,138.0,1,108
ercot,DILLEYSW-DILLEYSW 138kV,109,77634,305705,138.0,1,46
ercot,ANGLETON-WCOLLOCL 138kV,82,82366,310642,138.0,1,121
ercot,ORNGROV-ORNGROV 138kV,82,78917,307049,138.0,1,32
ercot,GABRIE-GABRIE 69kV,75,T4090,,138.0/69.0,1,0
ercot,SOLSTICE-SOLSTICE 138kV,68,80486,308686,138.0,1,80
ercot,SEA-SEA 138kV,51,81406,309644,138.0,1,177
ercot,DOWNIES-DOWNIES 138kV,37,T14,,138.0/69.0,1,41
ercot,VICTORIA-OCONNOR 69kV,30,76375,304384,69.0,1,48
ercot,REVEILLE-COTULLA 138kV,28,82597,310883,138.0,1,70
ercot,HOWARD-LEON_CRK 138kV,28,84428,312785,138.0,1,5
ercot,SNYDR-SNYDR 138kV,16,72379,300174,138.0,1,2
ercot,YELWJCKT-HEXT 69kV,10,85282,313686,69.0,1,43
ercot,W_BATESV-UVALDE 138kV,7,80029,308215,138.0,1,54
ercot,S_MISSIN-FRONTERA 138kV,1,81560,309803,138.0,1,71
